census_code,MSL_prediction_2011
2,3
8,3
10,3
12,3
19,3
30,3
41,3
47,3
48,3
56,3
57,3
62,3
71,3
75,3
76,3
79,3
82,3
85,3
98,3
99,2
105,2
107,2
109,2
116,1
127,3
128,3
129,2
135,1
144,2
147,1
150,2
163,1
168,1
172,1
176,1
177,1
179,1
188,1
194,1
198,3
200,1
207,1
223,1
226,1
228,1
229,1
233,1
236,1
239,1
257,3
261,1
263,3
266,3
267,2
277,3
278,3
279,2
286,3
288,2
310,2
325,1
331,1
332,1
333,1
343,2
348,1
353,1
354,3
360,1
366,1
371,3
382,1
385,2
387,2
390,1
392,1
393,1
394,1
400,2
410,2
422,3
426,1
428,2
429,2
438,2
439,3
444,3
448,3
457,3
474,3
490,3
496,3
505,3
507,3
521,3
524,3
535,2
549,2
554,3
559,2
560,3
561,3
563,3
574,3
577,3
583,3
591,3
596,3
618,3
619,3
621,3
624,3
630,3
632,3
634,3
635,3
6,2
7,3
14,3
16,2
23,3
27,3
39,3
40,3
46,3
55,3
58,3
61,3
63,3
66,3
70,3
74,3
77,3
90,3
93,3
100,2
101,2
106,2
108,3
113,2
119,3
132,2
133,2
149,1
152,1
156,1
158,1
166,2
174,1
183,1
189,1
191,1
192,1
197,2
206,1
211,1
214,1
216,1
219,1
220,1
235,1
237,1
243,3
245,3
251,2
252,3
265,3
280,3
284,3
291,2
296,2
299,3
301,2
314,1
317,2
318,2
323,1
329,1
330,1
340,2
347,1
356,1
362,1
370,1
372,2
397,1
398,2
399,2
404,2
405,3
411,1
413,3
420,3
423,2
424,2
425,2
445,2
451,3
453,1
460,3
464,3
472,3
473,3
475,3
478,3
482,3
483,3
485,1
487,3
494,3
497,3
499,3
504,3
517,3
525,3
527,3
529,3
533,3
551,3
552,2
557,3
569,3
572,3
581,3
589,3
594,3
595,3
597,3
605,3
607,3
622,3
636,3
24,3
26,3
31,3
32,3
38,3
44,3
49,3
60,3
65,3
69,3
73,3
78,3
86,2
95,3
102,3
114,2
120,2
121,2
123,2
125,1
137,1
139,2
145,2
151,1
157,2
159,1
160,1
161,1
164,2
182,1
184,1
185,1
187,1
190,1
195,1
196,1
199,1
201,1
203,1
205,1
212,1
218,1
225,1
227,1
232,1
233,1
241,3
246,3
250,3
254,3
264,3
285,3
287,1
289,2
295,2
300,1
302,1
307,2
313,2
315,1
316,2
319,2
327,3
335,3
338,2
349,1
374,1
377,2
386,3
388,2
389,1
396,2
409,2
427,2
431,3
435,3
436,3
441,3
442,3
443,3
446,3
447,3
449,3
452,3
456,3
458,2
466,3
468,3
481,3
492,3
502,2
503,3
510,3
512,3
516,3
518,3
520,3
528,3
536,3
539,3
547,3
555,3
568,3
570,3
573,3
585,3
592,3
593,3
606,3
610,3
612,3
613,3
626,3
637,3
638,3
639,3
1,3
5,2
21,3
25,3
28,3
29,3
33,3
35,3
37,3
42,3
43,3
59,3
72,3
80,3
83,3
94,3
96,3
103,2
111,3
115,1
117,3
118,2
124,2
126,2
136,1
138,3
141,3
142,2
146,2
154,1
155,1
162,2
165,1
167,1
170,1
171,1
178,1
204,1
210,1
215,1
217,1
222,1
224,3
230,2
234,1
244,3
248,3
253,3
262,3
275,3
282,3
292,2
293,1
297,1
303,1
305,2
308,1
309,1
311,2
312,3
321,3
339,1
341,3
344,2
346,1
350,1
351,1
352,1
357,2
376,2
391,1
395,1
402,1
406,2
407,3
408,3
416,2
421,3
433,3
434,3
469,2
476,3
477,3
486,3
488,3
495,3
501,3
514,2
515,3
523,2
531,3
534,3
537,3
543,2
544,3
546,3
550,3
557,3
558,3
564,3
565,3
566,3
571,3
576,2
578,2
579,2
586,3
588,3
601,3
602,3
603,3
608,3
609,3
614,3
616,2
617,3
4,3
34,3
36,3
45,3
51,3
53,3
64,3
67,2
68,3
81,3
84,3
88,3
91,3
92,3
97,3
104,2
110,3
112,2
122,2
130,3
134,2
140,3
143,1
148,1
153,1
169,1
173,1
175,2
181,1
186,1
193,1
209,1
221,1
231,1
233,1
233,1
238,1
242,3
247,3
249,2
255,3
270,3
272,2
273,1
274,3
276,3
281,3
283,3
290,2
294,1
298,3
304,1
306,2
328,1
334,1
336,1
337,3
342,3
355,3
358,1
364,1
368,1
373,1
375,1
378,2
379,2
380,2
381,3
383,2
384,1
401,1
403,2
412,2
414,1
430,3
432,3
437,3
440,3
450,2
454,3
455,3
462,1
470,2
471,3
479,3
480,3
484,2
489,3
491,3
498,3
500,3
506,3
508,2
509,2
513,3
519,3
526,3
530,3
532,3
545,3
548,3
556,3
562,3
567,3
575,3
587,3
590,3
598,3
599,3
600,3
604,3
611,3
615,3
620,3
623,3
627,3
