census_code,BF_prediction_2001
8,2
14,1
24,2
32,1
39,2
61,1
62,2
65,1
68,2
78,2
79,2
80,2
83,1
84,1
86,1
104,1
105,1
113,1
115,1
126,1
127,2
129,1
132,2
137,1
140,2
141,2
142,1
144,1
148,1
150,1
152,1
157,2
166,1
183,1
192,1
195,1
200,1
215,1
225,1
232,1
233,1
234,1
238,1
252,2
255,2
264,1
274,2
276,2
282,2
284,2
290,2
293,2
296,1
298,1
310,2
314,2
335,1
336,2
338,2
343,2
347,1
353,1
356,1
358,1
360,1
362,1
366,1
371,1
373,1
375,1
379,1
389,1
392,1
393,1
400,1
420,1
426,1
428,1
442,1
447,1
450,1
452,1
455,1
468,2
474,3
483,1
486,1
491,2
504,1
506,1
508,1
513,1
515,1
520,2
524,1
525,1
527,2
529,1
554,1
556,1
565,1
568,2
573,1
591,3
593,3
595,3
599,2
602,1
605,1
613,1
618,1
622,1
624,1
627,2
634,3
635,3
1,2
12,2
25,1
43,2
46,2
48,2
49,1
56,1
58,2
60,2
63,2
66,3
69,1
74,2
76,2
94,3
97,3
102,2
106,1
107,1
110,2
111,1
112,1
118,1
122,1
130,1
134,2
138,2
147,1
155,1
163,1
165,1
173,1
174,1
177,1
181,1
184,1
190,1
193,1
197,2
198,1
199,1
201,1
203,1
204,1
217,1
221,1
222,1
224,1
228,1
230,2
236,1
247,1
254,2
257,2
277,3
279,2
286,1
288,1
295,2
299,2
302,2
305,2
309,2
316,2
330,1
340,1
344,1
354,1
374,1
378,1
385,1
398,1
402,1
409,1
412,1
413,1
429,1
431,1
432,1
434,1
437,1
444,3
451,1
464,1
469,1
470,1
475,1
485,1
490,1
495,3
502,1
503,1
507,1
509,1
512,1
514,1
517,1
526,1
533,1
544,2
557,1
558,1
564,1
569,3
587,3
590,3
598,1
607,1
611,3
614,1
617,1
619,1
632,1
636,3
637,3
2,2
5,1
7,1
10,1
16,1
26,1
28,1
34,1
36,1
37,2
38,1
44,2
55,3
72,2
73,2
88,2
91,3
92,3
93,3
95,3
98,3
99,1
100,2
117,1
121,1
135,2
146,1
151,1
154,1
156,1
158,1
168,1
171,1
176,1
187,1
189,1
196,1
206,1
207,1
211,1
231,1
233,1
242,2
253,2
275,2
283,1
287,2
292,2
303,2
307,2
319,2
321,1
323,2
329,1
337,2
351,1
352,2
355,1
357,1
364,1
376,1
383,1
390,1
391,1
394,1
395,1
404,1
405,1
407,1
414,1
416,1
422,1
423,1
425,1
441,1
448,1
453,1
454,1
457,1
462,1
466,1
480,1
487,1
489,1
494,3
505,2
516,1
518,2
521,2
523,1
545,1
546,2
548,1
550,1
551,1
557,1
562,3
563,1
570,1
572,2
574,1
575,3
577,1
578,1
579,1
583,2
589,3
592,3
594,3
603,3
604,1
609,1
612,1
616,1
621,1
630,1
4,1
6,1
19,1
29,3
31,2
42,2
45,2
53,2
57,2
64,1
67,1
70,2
71,1
103,1
108,1
114,1
116,1
119,1
123,1
125,1
133,1
143,1
145,1
160,1
162,1
164,2
167,1
169,1
170,1
172,1
178,1
179,1
188,1
191,1
209,1
210,1
212,1
218,1
219,1
227,1
233,1
233,1
235,1
239,1
243,3
244,3
248,3
249,2
262,2
263,2
265,3
266,2
270,1
272,2
273,2
278,2
285,2
289,2
291,2
294,2
297,2
304,2
306,2
311,2
313,2
327,2
328,1
331,1
332,1
333,1
341,3
349,1
350,1
380,1
382,1
399,1
401,1
403,1
406,1
408,1
410,1
421,2
427,1
430,1
433,1
443,1
445,1
446,1
449,1
458,1
471,1
476,2
478,2
482,1
484,1
492,3
497,1
499,1
510,1
528,1
531,1
534,1
536,3
537,1
543,1
561,1
566,1
576,3
581,1
586,3
588,3
597,3
615,1
620,1
623,1
626,1
21,1
23,1
27,1
30,3
33,3
35,1
40,2
41,1
47,2
51,2
59,2
75,2
77,2
81,2
82,1
85,3
90,3
96,3
101,1
109,1
120,1
124,1
128,1
136,1
139,2
149,1
153,1
159,1
161,1
175,1
182,1
185,1
186,1
194,1
205,1
214,1
216,1
220,1
223,1
226,1
229,1
237,1
241,2
245,2
246,2
250,2
251,2
261,2
267,2
280,2
281,1
300,2
301,1
308,1
312,2
315,2
317,2
318,2
325,1
334,1
339,1
342,3
346,1
348,1
368,1
370,1
372,1
377,1
381,1
384,1
386,1
387,1
388,1
396,1
397,1
411,1
424,1
435,1
436,1
438,1
439,3
440,1
456,1
460,1
472,1
473,3
477,2
479,1
481,2
488,2
496,1
498,1
500,1
501,1
519,3
530,1
532,1
535,1
539,1
547,1
549,1
552,1
555,1
559,1
560,1
567,1
571,1
585,3
596,3
600,3
601,3
606,1
608,1
610,1
638,2
639,3
