census_code,FEMP_prediction_2001
5,2
12,2
21,3
26,2
37,3
38,3
42,2
45,3
55,3
56,1
59,2
62,2
71,2
73,2
79,2
80,2
93,3
95,3
104,2
118,2
120,2
124,1
127,3
130,2
132,2
136,1
139,2
142,2
150,2
159,1
160,1
165,1
167,1
173,1
175,2
182,1
184,1
192,1
198,2
209,1
211,1
212,1
216,1
217,1
234,1
243,3
245,3
252,3
261,1
265,2
270,2
276,2
283,3
284,2
285,2
294,1
300,2
301,1
331,2
339,2
340,2
341,3
343,3
347,1
349,1
352,2
372,3
374,3
390,1
396,1
397,1
407,1
411,1
420,1
422,1
424,1
428,2
429,2
432,2
434,2
435,2
442,1
448,1
473,3
476,3
477,3
486,3
487,1
494,3
495,3
504,2
507,2
509,2
521,3
524,2
528,2
530,3
531,2
536,3
543,2
547,2
563,3
572,3
585,3
587,3
594,3
597,3
599,3
603,3
604,3
606,2
616,1
630,3
632,3
634,3
637,3
2,2
4,3
8,2
27,3
34,3
47,2
49,3
53,3
57,2
58,1
60,3
63,1
69,3
70,3
78,2
83,2
91,3
96,3
98,3
100,2
103,2
106,2
108,2
114,2
121,2
125,1
128,1
146,2
147,2
148,1
152,1
154,1
155,1
157,3
161,1
163,1
171,1
176,1
178,1
179,1
190,1
200,1
201,1
224,1
225,1
229,1
230,1
231,1
242,2
250,3
272,1
279,2
287,2
291,2
292,3
297,2
298,3
299,2
304,2
306,3
309,3
310,3
312,3
314,1
319,2
328,3
334,2
336,2
344,2
358,1
360,2
362,1
364,2
370,1
375,2
377,1
378,1
386,3
387,2
389,1
391,1
398,2
404,2
409,2
421,3
430,1
438,1
439,3
441,1
444,3
453,1
464,1
471,3
491,3
496,3
497,1
500,1
502,1
514,2
518,3
526,2
527,2
529,2
551,2
552,2
556,2
566,2
570,3
571,2
581,3
583,3
598,3
607,2
622,3
623,3
635,3
10,3
14,2
24,3
35,3
39,3
43,2
65,2
72,3
81,2
82,3
85,3
88,3
101,2
110,3
117,3
140,3
144,1
149,1
162,1
164,3
168,1
169,1
172,1
181,1
185,1
189,1
191,1
196,1
205,1
210,1
214,1
221,1
223,1
227,1
233,1
233,1
237,1
239,1
247,2
248,3
253,2
254,2
266,2
275,3
278,3
281,1
282,2
286,2
295,1
305,1
311,3
318,2
323,3
327,3
329,2
330,2
332,2
335,3
337,3
338,3
348,2
350,2
354,3
366,1
368,2
371,3
380,2
381,3
384,2
399,1
402,1
405,1
408,2
412,2
416,1
427,2
433,1
436,1
445,1
451,3
460,2
468,3
469,2
489,1
490,3
499,2
505,3
508,1
510,1
513,2
515,3
516,3
525,1
534,2
537,3
545,1
548,3
557,2
560,2
564,2
567,2
574,2
593,3
600,3
601,3
602,3
611,3
612,3
617,2
618,2
619,2
620,3
621,2
636,3
638,3
639,3
1,2
7,2
16,2
25,3
29,3
31,3
33,3
36,3
40,3
41,3
44,2
46,3
61,2
68,3
74,2
75,3
77,2
90,3
92,3
94,3
105,2
113,3
119,3
123,3
133,2
135,2
143,2
151,1
156,1
158,1
170,1
177,1
183,1
194,1
197,3
204,1
207,1
218,1
226,2
228,1
232,1
233,1
235,1
241,3
255,2
257,3
267,1
273,1
274,2
277,3
280,2
288,2
289,3
296,1
303,2
307,2
321,3
325,2
333,2
342,3
346,1
355,2
356,1
373,1
376,1
379,1
382,2
383,2
385,2
393,2
395,1
400,2
403,2
406,2
410,2
414,1
423,1
426,1
431,1
446,2
447,1
450,2
454,1
455,2
456,1
458,1
472,2
478,3
479,2
481,3
483,2
484,1
485,1
498,2
501,2
503,2
517,3
532,2
533,2
535,2
554,2
555,2
558,2
559,2
561,2
562,3
568,2
575,3
578,2
579,2
590,3
591,3
592,3
596,3
610,3
615,2
6,2
19,3
23,2
28,2
30,3
32,2
48,3
51,3
64,3
66,3
67,2
76,3
84,2
86,3
97,3
99,3
102,2
107,2
109,2
111,2
112,2
115,2
116,2
122,2
126,2
129,1
134,2
137,2
138,2
141,3
145,2
153,1
166,2
174,1
186,1
187,1
188,1
193,1
195,1
199,1
203,1
206,1
215,1
219,1
220,1
222,1
233,1
236,1
238,1
244,3
246,3
249,2
251,2
262,3
263,2
264,2
290,2
293,2
302,2
308,1
313,3
315,2
316,3
317,2
351,1
353,2
357,3
388,2
392,1
394,1
401,1
413,1
425,2
437,2
440,1
443,1
449,2
452,1
457,1
462,1
466,2
470,2
474,3
475,2
480,2
482,2
488,3
492,3
506,2
512,1
519,3
520,3
523,2
539,2
544,3
546,2
549,2
550,2
557,2
565,2
569,3
573,2
576,3
577,3
586,3
588,3
589,3
595,3
605,3
608,3
609,2
613,2
614,3
624,3
626,3
627,3
