census_code,CHH_prediction_2011
1,2
4,3
6,2
27,2
28,2
31,3
35,3
41,3
44,2
46,2
47,2
60,3
63,2
67,2
70,3
79,2
80,2
82,3
93,3
94,3
105,2
111,3
112,2
113,2
120,2
124,1
126,2
136,1
144,2
154,1
175,2
184,1
186,1
190,1
198,1
207,1
212,1
214,1
215,1
221,1
223,1
244,3
246,3
248,3
253,2
257,3
261,1
263,2
266,2
272,1
273,1
275,3
279,2
282,2
304,1
308,1
334,2
335,3
341,3
349,1
355,2
357,3
362,1
366,1
381,3
382,2
386,3
389,2
390,2
393,1
397,1
398,2
399,1
402,1
405,1
406,2
421,3
430,1
434,2
436,1
437,2
449,2
455,2
456,1
462,1
472,2
481,3
492,3
495,3
499,2
501,2
515,2
516,3
520,3
524,2
528,2
529,2
536,3
545,2
548,2
552,2
564,2
566,2
569,3
576,3
577,3
579,2
586,3
592,3
596,3
609,3
622,2
624,3
626,3
632,3
634,3
2,2
5,2
12,2
26,2
40,3
43,2
53,3
56,2
58,2
61,2
62,2
64,2
71,3
72,3
75,3
85,2
92,3
96,3
102,2
106,2
107,2
108,2
127,3
128,1
132,2
133,2
134,2
140,3
142,2
147,2
157,3
158,1
170,1
174,1
178,1
183,1
185,1
187,1
191,1
205,1
211,1
226,2
235,1
236,1
241,3
249,2
250,2
251,3
254,2
265,3
270,3
274,3
287,2
290,3
291,2
292,3
293,2
309,3
315,3
317,3
321,3
328,3
343,3
347,1
351,1
371,2
374,2
375,2
380,2
385,1
387,2
388,2
392,1
403,1
422,2
426,2
427,2
431,2
432,2
433,1
439,3
440,1
443,1
447,1
448,1
451,3
460,2
470,2
473,3
482,3
486,3
490,3
507,2
512,1
513,2
530,3
532,2
533,2
543,2
547,3
559,2
567,2
574,2
585,3
587,3
590,3
593,3
595,3
601,3
605,3
607,1
608,3
610,3
618,3
619,3
621,2
14,2
21,3
24,2
33,3
36,3
37,3
38,3
48,3
49,3
51,3
55,3
65,2
78,2
88,3
90,3
95,3
99,2
101,2
103,2
104,2
110,3
114,2
116,1
117,3
119,3
121,2
138,3
145,2
148,1
150,2
153,1
155,1
160,1
163,1
164,3
168,1
177,1
179,1
188,1
193,1
197,2
200,1
201,1
203,1
206,1
209,1
217,1
218,1
220,1
222,1
224,1
225,1
230,2
231,1
232,1
233,1
238,1
242,2
243,2
264,3
284,2
285,2
288,3
294,1
295,2
300,2
302,2
307,2
314,1
323,2
333,2
337,3
340,2
346,1
350,2
352,2
377,1
379,1
383,3
394,1
404,2
412,2
413,1
423,1
429,2
444,3
445,1
454,1
464,1
475,2
478,3
484,1
487,1
488,3
489,1
502,1
503,2
504,2
509,2
549,2
554,2
560,2
568,2
570,3
573,2
575,3
578,2
581,2
600,3
603,3
606,2
611,3
614,3
617,2
627,3
638,3
8,2
16,2
23,2
25,3
30,2
39,3
42,2
45,3
57,1
73,2
74,2
76,3
83,3
86,3
91,3
98,3
115,1
122,2
125,1
130,2
139,2
146,2
149,1
151,1
152,1
156,1
159,1
165,1
169,1
181,1
182,1
194,1
196,1
199,1
216,1
227,1
229,1
233,1
233,1
233,1
234,1
237,1
239,1
245,3
247,2
255,2
278,3
280,1
281,2
283,3
286,3
289,3
296,1
298,3
301,2
303,2
313,2
316,3
318,2
319,2
329,2
332,3
338,3
344,2
358,1
368,1
378,2
395,1
407,1
409,2
410,2
416,1
424,1
425,1
435,2
438,1
441,1
442,1
450,2
453,1
457,1
458,1
466,2
469,2
479,2
483,3
491,3
496,3
498,2
505,3
508,1
518,3
525,1
531,2
534,2
535,2
539,2
555,2
556,2
557,2
557,2
558,2
561,2
562,3
565,2
571,2
572,3
591,3
594,3
597,3
598,3
612,3
615,1
616,1
620,2
637,3
7,2
10,3
19,3
29,2
32,2
34,3
59,2
66,3
68,3
69,3
77,2
81,2
84,1
97,3
100,1
109,2
118,2
123,3
129,1
135,2
137,1
141,3
143,2
161,1
162,1
166,2
167,2
171,1
172,1
173,1
176,1
189,1
192,1
195,1
204,1
210,1
219,1
228,1
252,3
262,2
267,1
276,2
277,3
297,2
299,2
305,2
306,3
310,3
311,3
312,3
325,2
327,3
330,2
331,2
336,2
339,2
342,3
348,2
353,2
354,3
356,1
360,2
364,2
370,1
372,2
373,1
376,1
384,2
391,1
396,2
400,2
401,1
408,2
411,1
414,1
420,1
428,1
446,1
452,1
468,3
471,3
474,3
476,3
477,3
480,2
485,1
494,3
497,1
500,1
506,2
510,2
514,1
517,3
519,3
521,3
523,1
526,2
527,2
537,3
544,3
546,2
550,2
551,2
563,3
583,2
588,3
589,3
599,3
602,3
604,3
613,2
623,3
630,2
635,3
636,3
639,3
